Time:250Hz,Epoch,FP1,FP2,Event Id,Event Date,Event Duration
1.6279999975,12,-51082.0000000000,373263.0000000000,,,
1.6319999974,12,-50370.0000000000,373892.0000000000,,,
1.6359999974,12,-49950.0000000000,374514.0000000000,,,
1.6399999973,12,-50408.0000000000,375216.0000000000,,,
1.6439999973,12,-51284.0000000000,375931.0000000000,,,
1.6479999975,12,-51058.0000000000,376567.0000000000,,,
1.6519999974,12,-50993.0000000000,377177.0000000000,,,
1.6559999974,12,-51834.0000000000,377868.0000000000,,,
1.6599999974,12,-50398.0000000000,378566.0000000000,,,
1.6639999973,13,-52349.0000000000,379228.0000000000,,,
1.6679999973,13,-51009.0000000000,379825.0000000000,,,
1.6719999972,13,-53121.0000000000,380512.0000000000,,,
1.6759999972,13,-50087.0000000000,381199.0000000000,,,
1.6799999971,13,-49383.0000000000,381845.0000000000,,,
1.6839999971,13,-50074.0000000000,382455.0000000000,,,
1.6879999973,13,-50365.0000000000,383112.0000000000,,,
1.6919999972,13,-51022.0000000000,383835.0000000000,,,
1.6959999972,13,-50719.0000000000,384490.0000000000,,,
1.6999999972,13,-50957.0000000000,385100.0000000000,,,
1.7039999971,13,-51334.0000000000,385731.0000000000,,,
1.7079999973,13,-50757.0000000000,386431.0000000000,,,
1.7119999973,13,-52132.0000000000,387110.0000000000,,,
1.7159999972,13,-51092.0000000000,387712.0000000000,,,
1.7199999972,13,-52269.0000000000,388334.0000000000,,,
1.7239999971,13,-50283.0000000000,389016.0000000000,,,
1.7279999971,13,-51893.0000000000,389709.0000000000,,,
1.7319999973,13,-49964.0000000000,390311.0000000000,,,
1.7359999972,13,-50811.0000000000,390913.0000000000,,,
1.7399999972,13,-51173.0000000000,391605.0000000000,,,
1.7439999972,13,-52267.0000000000,392306.0000000000,,,
1.7479999971,13,-50468.0000000000,392920.0000000000,,,
1.7519999973,13,-51120.0000000000,393509.0000000000,,,
1.7559999973,13,-49972.0000000000,394170.0000000000,,,
1.7599999972,13,-50118.0000000000,394866.0000000000,,,
1.7639999972,13,-50374.0000000000,395498.0000000000,,,
1.7679999971,13,-52403.0000000000,396104.0000000000,,,
1.7719999971,13,-51201.0000000000,396746.0000000000,,,
1.7759999973,13,-50722.0000000000,397447.0000000000,,,
1.7799999972,13,-51866.0000000000,398093.0000000000,,,
1.7839999972,13,-54214.0000000000,398705.0000000000,,,
1.7879999971,13,-50552.0000000000,399316.0000000000,,,
1.7919999971,14,-51532.0000000000,400029.0000000000,,,
1.7959999971,14,-50626.0000000000,400682.0000000000,,,
1.7999999970,14,-51011.0000000000,401287.0000000000,,,
1.8039999970,14,-50729.0000000000,401900.0000000000,,,
1.8079999969,14,-51201.0000000000,402601.0000000000,,,
1.8119999969,14,-49823.0000000000,403235.0000000000,,,
1.8159999971,14,-51152.0000000000,403843.0000000000,,,
1.8199999970,14,-52121.0000000000,404433.0000000000,,,
1.8239999970,14,-52493.0000000000,405113.0000000000,,,
1.8279999970,14,-51373.0000000000,405764.0000000000,,,
1.8319999969,14,-50768.0000000000,406355.0000000000,,,
1.8359999971,14,-51473.0000000000,406931.0000000000,,,
1.8399999971,14,-51545.0000000000,407580.0000000000,,,
1.8439999970,14,-50012.0000000000,408240.0000000000,,,
1.8479999970,14,-51762.0000000000,408856.0000000000,,,
1.8519999969,14,-50103.0000000000,409402.0000000000,,,
1.8559999969,14,-51730.0000000000,410067.0000000000,,,
1.8599999971,14,-50212.0000000000,410727.0000000000,,,
1.8639999970,14,-51446.0000000000,411344.0000000000,,,
1.8679999970,14,-50820.0000000000,411906.0000000000,,,
1.8719999969,14,-52293.0000000000,412555.0000000000,,,
1.8759999969,14,-51209.0000000000,413221.0000000000,,,
1.8799999971,14,-51773.0000000000,413846.0000000000,,,
1.8839999971,14,-51305.0000000000,414414.0000000000,,,
1.8879999970,14,-51896.0000000000,415034.0000000000,,,
1.8919999970,14,-51646.0000000000,415718.0000000000,,,
1.8959999969,14,-51715.0000000000,416344.0000000000,,,
1.8999999969,14,-49858.0000000000,416892.0000000000,,,
1.9039999971,14,-51655.0000000000,417497.0000000000,,,
